NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
94,CARA/XERPHA DOUBLE H,77,21,SWW,DH08X028-207-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.94,3.54,12.8,,8.1,67.4,95.4,54.7,94.9,1.985,55.4,24.1,14.9,33.9,7.8,2.6,0.3,9.4,0.38,68.2,83.8,43.5,8.89,
106,SOFT ELITE,10,18,CLUB,DH08X028-215INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.63,2.82,13.4,2.2,11.3,65.9,99.2,59.1,94.9,0.76,63.9,33.79,16,33.5,8.98,2.62,0.37,10.7,0.33,67.1,85.5,43.6,9.19,
106,SOFT ELITE,11,19,CLUB,DH08X028-219INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.86,2.6,13.6,1.9,8.7,62.9,84,56.8,87.4,0.778,62.3,39.04,15,36.9,10.2,2.64,0.38,9.7,0.3,69.9,91,44.5,9.59,
95,SOFT ELITE,9,9,CLUB,DH08X028-219INV,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.36,3.54,11.1,1,5.8,78.8,88.2,48.8,97.2,1.183,61.5,43.81,15.4,36.2,8.7,2.71,0.36,7.4,0.38,71.7,88.2,49.6,9.52,1120
106,SOFT ELITE,12,20,CLUB,DH08X028-224INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.25,2.91,13,1,6.1,63.7,66.6,56.9,87,0.668,62,38.28,16.5,37.2,8.76,2.73,0.35,7.4,0.38,67.4,82.7,43.1,9.68,
106,SOFT ELITE,13,21,CLUB,DH08X028-23-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.25,2.9,12.8,2.6,10.5,67.1,112.7,60.2,92.1,0.959,62.7,40.84,15.5,31.7,8.07,2.52,0.26,9.2,0.28,67.4,89.1,45.9,9.32,
106,SOFT ELITE,14,22,CLUB,DH08X028-231INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.1,2.32,12.5,0.5,5.3,64.5,68.9,59.2,89.1,0.716,61.1,49.95,15.8,32.2,8.92,2.56,0.35,9.4,0.29,66.9,87.8,42.3,9.36,
106,SOFT ELITE,15,23,CLUB,DH08X028-24-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.74,2.94,12.7,1.9,7.6,72.3,93,60.2,94.5,0.78,61.5,30.47,16.9,38.7,9.55,2.72,0.34,7.7,0.34,68.9,87.2,43.9,9.5,
92,SOFT ELITE,34,22,CLUB,DH08X028-26-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.81,3.55,12.3,,7,,,52.8,,,58.2,35,18.4,26.5,7.8,2.3,0.3,11.8,0.37,70.9,87.8,47.3,9.51,1200
94,CARA/XERPHA DOUBLE H,11,22,CLUB,DH08X028-26-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.81,3.55,12.3,,7.6,60.9,70.2,51,82.6,1.486,58.2,34.1,18.2,27.4,7.1,2.4,0.3,12,0.42,72.3,86.4,49.2,9.4,
